,Video File,start,end,size
57,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,763250.0,763450.0,321308.0
58,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,1303780.0,1303920.0,486743.0
59,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,169480.0,170000.0,270749.0
60,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,209179.0,209389.0,203893.0
61,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,802219.0,802379.0,123238.0
62,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,369710.0,369890.0,123290.0
63,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,442300.0,442400.0,232253.0
64,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,451530.0,451669.0,281927.0
65,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,1262560.0,1262780.0,213807.0
66,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,1265130.0,1265410.0,313371.0
67,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,1296520.0,1296690.0,228477.0
68,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,276980.0,277080.0,294122.0
69,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,320929.0,321069.0,242921.0
70,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,1335490.0,1335800.0,311872.0
71,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,323469.0,324009.0,473817.0
72,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,797300.0,797620.0,263012.0
73,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,112460.0,112839.0,202313.0
74,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,199800.0,200100.0,80921.0
75,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,584920.0,585250.0,405008.0
76,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,1337130.0,1337340.0,447473.0
77,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,116059.0,116429.0,56399.0
78,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,1309840.0,1310040.0,565123.0
79,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,199050.0,199230.0,52096.0
80,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,1278049.0,1278229.0,169676.0
81,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,1261740.0,1262250.0,200511.0
82,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,286779.0,287089.0,95190.0
83,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,1026369.0,1026579.0,189604.0
84,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,1293650.0,1294120.0,105708.0
85,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,584250.0,584590.0,356081.0
86,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,765900.0,766260.0,511921.0
87,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,250699.0,250989.0,77874.0
88,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,746240.0,746510.0,81493.0
89,2016-10-15_0130_US_KNBC_NBC_Nightly_News.mp4,804610.0,805210.0,304222.0
90,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,1439039.0,1439259.0,127828.0
91,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,401550.0,401930.0,78269.0
92,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,624099.0,624269.0,207534.0
93,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,859849.0,860009.0,43882.0
94,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,138719.0,138919.0,199460.0
95,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,146700.0,146880.0,142332.0
96,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,1061100.0,1061389.0,836193.0
97,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,1421549.0,1421809.0,183001.0
98,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,1436280.0,1436470.0,37616.0
99,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,164490.0,164610.0,199783.0
100,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,263010.0,263240.0,149885.0
101,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,627830.0,628030.0,312111.0
102,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,843790.0,844030.0,356204.0
103,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,397240.0,397640.0,283529.0
104,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,1131880.0,1132200.0,379075.0
105,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,219370.0,219940.0,295484.0
106,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,187380.0,187640.0,245694.0
107,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,625429.0,625789.0,252201.0
108,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,957790.0,958230.0,183327.0
109,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,871640.0,871880.0,657683.0
110,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,893200.0,893690.0,121472.0
111,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,949509.0,949819.0,68328.0
112,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,969799.0,970169.0,320594.0
113,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,847270.0,847560.0,157500.0
114,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,409280.0,409729.0,106326.0
115,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,412080.0,412340.0,164168.0
116,2016-01-01_0230_US_KNBC_NBC_Nightly_News.mp4,626429.0,626839.0,280654.0
117,2016-01-02_0130_US_KCET_Nightly_Business_Report.mp4,1299110.0,1299490.0,177073.0
118,2016-01-02_0130_US_KCET_Nightly_Business_Report.mp4,1307380.0,1307610.0,202052.0
119,2016-01-02_0130_US_KCET_Nightly_Business_Report.mp4,1314380.0,1314670.0,148812.0
120,2016-01-02_0130_US_KCET_Nightly_Business_Report.mp4,198430.0,198580.0,154993.0
121,2016-01-02_0130_US_KCET_Nightly_Business_Report.mp4,205610.0,205800.0,348177.0
122,2016-01-02_0130_US_KCET_Nightly_Business_Report.mp4,287789.0,287959.0,62833.0
123,2016-01-02_0130_US_KCET_Nightly_Business_Report.mp4,1251270.0,1251870.0,117398.0
124,2016-01-02_0130_US_KCET_Nightly_Business_Report.mp4,154990.0,155310.0,32814.0
125,2016-01-02_0130_US_KCET_Nightly_Business_Report.mp4,270010.0,270210.0,307127.0
126,2016-01-02_0130_US_KCET_Nightly_Business_Report.mp4,299400.0,299560.0,280737.0
127,2016-01-02_0130_US_KCET_Nightly_Business_Report.mp4,1540469.0,1540629.0,33876.0
128,2016-01-02_0130_US_KCET_Nightly_Business_Report.mp4,1542639.0,1542829.0,133217.0
129,2016-01-02_0130_US_KCET_Nightly_Business_Report.mp4,1584580.0,1584800.0,37615.0
130,2016-01-02_0130_US_KCET_Nightly_Business_Report.mp4,301670.0,301940.0,51440.0
131,2016-01-02_0130_US_KCET_Nightly_Business_Report.mp4,1302380.0,1302700.0,290470.0
132,2016-01-02_0130_US_KCET_Nightly_Business_Report.mp4,270320.0,270550.0,37113.0
133,2016-01-02_0130_US_KCET_Nightly_Business_Report.mp4,1219880.0,1220200.0,83560.0
134,2016-01-02_0130_US_KCET_Nightly_Business_Report.mp4,281460.0,281620.0,127783.0
135,2016-01-02_0130_US_KCET_Nightly_Business_Report.mp4,1238509.0,1238679.0,188713.0
